language,text
1,пасля катастрофы на
1,Уваходзіць у склад Ракшынскага
1,вёска ў Мсціслаўскім
1,ў Мсціслаўскім раёне Магілёўскай
1,Цэнтр Ракшынскага сельсавета і
1,у склад Ракшынскага
1,Уваходзіць у склад Ракшынскага
1,да катэгорыі гарадоў
1,гарады мала чым адрозніваліся ад
1,дзвюма асноўнымі гарадскімі
1,вузлы ў прасторавай
1,сваю чаргу паляпшае
1,з удзелам дзелавых
1,годзе Мсціслаў вярнулі
1,вызначалі драўляныя храмы
1,вуліцы Кармеліцкая і Пірагоўская
1,Мсціслаўскага раёна Магілёўскай
1,ўсе населеныя пункты скасаванага Раздзельскага
1,назвы гаворыць пра белае
1,з развіццём рускамоўнай сістэмы адукацыі
1,Інструкцыя па транслітарацыі
1,Беларусі панаваў цёплы
1,барацьбы беларускіх княстваў з
1,піша аб Рэчы
1,была забаронена ў
1,шляхты і раптоўнае
1,рэвалюцыю шляхам рэформ зрабіў
1,Пасля кароткачасовага існавання буфернай дзяржавы
1,мяжы Беларусі і Украіны адбылася
1,склікання зацвердзіў правядзенне рэферэндуму
1,як для правамоцнага
1,павінны забяспечваць безумоўнае выкананне нормаў
1,Прэзідэнт накіраваў у
1,лістапада і праводзіць
1,Мінскаму ўзвышшу па
1,На тэрыторыі Беларусі ў
1,Беларусь сілкуе абодва моры
1,пасля сканчэння ледавіковай
1,ў ХХ стагоддзі
1,савецкі перыяд Беларусі
1,сесіі Вярхоўнага Савета Рэспублікі
1,Беларусь IV склікання
1,прадстаўніцтвы пры міжнародных
1,Спіс дыпламатычных місій
1,года ў параўнанні з
1,беларуская і руская
1,сімволіку і рускую мову ў
1,прывяло да моцнага
1,сёння займаюцца такія
1,з вывучэннем на літоўскай
1,не валодае значнымі ўласнымі
1,плануецца будаўніцтва гідраэлектрастанцый
1,цэнтры славянскіх княстваў
1,У сферы турызму
1,з мэтай рацыянальнага
1,паляўнічагаспадарак маецца магчымасць арганізацыі камерцыйных
1,аэранавігацыйнае абслугоўванні паветранага
1,цікавасць да старой беларускай
1,творы беларускага жывапісу і
1,Галерэя сучаснага мастацтва
1,будынкі раманскага стылю і
1,ведаюць сваіх айчынных музыкаў і
1,У Беларусі штогод
1,дзе ставяцца спектаклі
1,Беларусі праходзяць маштабныя тэатральныя
1,Айчыннай вайны беларускія дакументалісты аднымі
1,кінатворчасць часцей растваралася на
1,Тумеля і Ігар
1,айчынную філасофію досыць анклаўнай і
1,публічных і спецыяльных
1,у склад бібліятэчнага
1,за межамі Расіі
1,ў Цэнтры малых
1,Беларускі народны касцюм вельмі
1,аналагі сустракаліся яшчэ
1,Самы высокі ўзровень
1,мае шмат агульных граматычных
1,даследваннямі на Меншчыне
1,тэндэнцыю да зніжэння выкарыстання
1,форме і выкарыстоўваюцца
1,раёне зафіксавана найвышэйшая ва Украіне
1,Гістарычна існавалі традыцыі запісу беларускага
1,лексемы паходзяць з агульнаславянскай
1,ў беларускай мове змяняюцца па
1,свае перадачы на
1,ў склад рускага
1,ў арфаграфіі і арфаэпіі працягваюцца
1,старажытнарускае мовы вядомыя пераходы некаторых
1,Усе дыялекты рускае мовы
1,пераходныя рысы між
1,мовы на аснове
1,каталікоў і невялікая
1,сваёй масе склала аснову
1,Беларусі яшчэ даславянскай
1,касцявога мозгу сучасным беларусам
1,пачаткова меў рэгіянальнае значэнне
1,вызначэнне не атрымала шырокага распаўсюджання
1,ў глыбока балцкіх тэрыторыях
1,згоды Апостальскай сталіцы
1,царква прызнае вяршынства свецкай улады
1,ў складзе СССР па
1,адзін з галоўных заснавальнікаў
1,і масавай мовай
1,да ўзвышэння і развіцця
1,галоўнага паэта пакалення стаў заклік
1,Скарынам у Празе
1,традыцыйная культура цаніла ў першую
1,заняткам сялянскага насельніцтва было ворнае
1,Высокай якасцю і майстэрствам славіліся
1,Паўсюдна было развіта народнае ткацтва
1,і найболей захоўвалася
1,Невялікія лаўкі стаялі і
1,Двары малазаможнай шляхты
